"","Name","Frequency"
"1","OLIVIA",933
"2","EMMA",789
"3","CHARLOTTE",711
"4","AVA",657
"5","SOPHIA",597
"6","ABIGAIL",501
"7","EMILY",478
"8","AMELIA",475
"9","MIA",462
"10","ISABELLA",432
"11","ELLA",429
"12","CHLOE",427
"13","EVELYN",413
"14","HANNAH",371
"15","GRACE",368
"16","ARIA",356
"17","AVERY",346
"18","LILY",334
"19","ISLA",324
"20","AUDREY",323
"21","SOFIA",323
"22","SCARLETT",314
"23","CLAIRE",307
"24","VICTORIA",301
"25","ELIZABETH",298
"26","MAYA",294
"27","MADISON",274
"28","MILA",266
"29","SOPHIE",251
"30","VIOLET",244
"31","SARAH",236
"32","LEAH",233
"33","BROOKLYN",232
"34","ELLIE",232
"35","JULIA",232
"36","HAILEY",227
"37","NORA",224
"38","ALICE",222
"39","HARPER",222
"40","ZOE",219
"41","ISABELLE",217
"42","ZOEY",214
"43","ANNA",211
"44","LAYLA",205
"45","CLARA",204
"46","ADDISON",202
"47","MACKENZIE",200
"48","QUINN",200
"49","RILEY",200
"50","EVA",192
"51","STELLA",191
"52","LILLIAN",188
"53","EVERLY",174
"54","ALYSSA",168
"55","PENELOPE",168
"56","GABRIELLA",160
"57","IVY",159
"58","MARIA",158
"59","ALEXANDRA",157
"60","ELEANOR",156
"61","LUCY",156
"62","NATALIE",156
"63","EMILIA",152
"64","AUBREY",151
"65","ARIANA",150
"66","LAUREN",150
"67","SAMANTHA",150
"68","AURORA",149
"69","SADIE",146
"70","NAOMI",145
"71","HAZEL",143
"72","ARIANNA",140
"73","PAISLEY",139
"74","PAIGE",136
"75","MADELYN",132
"76","ALEXIS",131
"77","GEORGIA",131
"78","ARYA",128
"79","RUBY",128
"80","WILLOW",127
"81","ANNABELLE",124
"82","SARA",123
"83","SIENNA",119
"84","RACHEL",118
"85","SAVANNAH",117
"86","NORAH",115
"87","TESSA",114
"88","AALIYAH",113
"89","AUTUMN",113
"90","MYA",113
"91","ZARA",113
"92","PEYTON",109
"93","JASMINE",107
"94","ELENA",106
"95","MARYAM",106
"96","BROOKE",105
"97","TAYLOR",105
"98","MADELINE",104
"99","ROSE",103
"100","PIPER",102
"101","VALENTINA",101
"102","JADE",100
"103","JESSICA",100
"104","KEIRA",100
"105","KYLIE",98
"106","AUBREE",95
"107","ISABEL",95
"108","SYDNEY",94
"109","ALEXA",92
"110","ELIANA",91
"111","NICOLE",91
"112","LYLA",90
"113","FAITH",89
"114","KATHERINE",88
"115","SELENA",88
"116","SKYLAR",87
"117","ADELINE",86
"118","ANAYA",86
"119","KAYLEE",86
"120","MADELEINE",85
"121","JOSEPHINE",84
"122","REBECCA",84
"123","TALIA",84
"124","CHARLIE",83
"125","FATIMA",83
"126","LUNA",83
"127","MAEVE",83
"128","MORGAN",83
"129","NEVAEH",83
"130","KINSLEY",82
"131","VIVIAN",82
"132","ELISE",81
"133","FIONA",81
"134","KAYLA",81
"135","MOLLY",81
"136","ADELAIDE",80
"137","BRIELLE",80
"138","FREYA",80
"139","IRIS",80
"140","LYDIA",79
"141","ROSALIE",78
"142","CHELSEA",77
"143","EDEN",77
"144","GABRIELLE",77
"145","SERENA",76
"146","ALESSIA",75
"147","AMY",75
"148","KATE",75
"149","MARY",75
"150","ANGELINA",74
"151","CATHERINE",74
"152","KENNEDY",74
"153","NATALIA",74
"154","NOVA",74
"155","SLOANE",74
"156","AYLA",71
"157","ZAHRA",71
"158","PAYTON",70
"159","THEA",70
"160","RYLEE",69
"161","VANESSA",69
"162","HADLEY",68
"163","NINA",68
"164","ATHENA",66
"165","SUMMER",66
"166","ALINA",65
"167","ANGELA",64
"168","ARIEL",64
"169","LILLY",64
"170","ADRIANA",63
"171","BRIANNA",63
"172","CALLIE",62
"173","EVANGELINE",62
"174","MARIAM",62
"175","RIVER",62
"176","ALIYAH",61
"177","ANASTASIA",61
"178","EVERLEIGH",61
"179","LARA",61
"180","ZAINAB",61
"181","AMAYA",60
"182","GEMMA",60
"183","LAURA",60
"184","MARGARET",60
"185","ALLISON",59
"186","BIANCA",59
"187","MADDISON",59
"188","MICHELLE",59
"189","MIRA",59
"190","JULIANNA",58
"191","LILIANA",58
"192","MIKAYLA",58
"193","CHRISTINA",57
"194","DELILAH",57
"195","BELLA",56
"196","BLAKE",56
"197","JORDYN",56
"198","LIA",56
"199","CECILIA",55
"200","ESTHER",55
"201","LENA",55
"202","MAKAYLA",55
"203","ADALYN",54
"204","ADELYN",54
"205","LILA",54
"206","AISHA",53
"207","ALEENA",53
"208","ANNIE",53
"209","JENNA",53
"210","OLIVE",53
"211","VIVIENNE",53
"212","ALIVIA",52
